,inicial_mat,inicial_pt,in_laboratorio_informatica,in_laboratorio_ciencias,in_quadra_esportes,in_cozinha,in_biblioteca,in_sala_leitura,in_internet,in_alimentacao,tp_atividade_complementar,tp_localizacao,num_proffundamental,num_matri_fund_total_geral,num_turmas_fund_total_geral,nu_salas_utilizadas,nu_funcionarios,num_matri_fund_1a4,matri/prof,matri/salas,com_escola_1,com_escola_2,rural,alimentacao_rural
149,223.75,208.85,1,0,1,1,1,0,1,1,1,1. Urbana,19.0,0.0,0.0,17,61,0.0,0.0,0.0,6,4,0,0
150,221.51,211.03,0,0,0,1,1,0,1,1,1,2. Rural,30.0,0.0,0.0,1,21,0.0,0.0,0.0,4,2,1,1
151,245.17,241.09,1,0,0,1,1,0,1,1,0,1. Urbana,17.0,0.0,0.0,9,54,0.0,0.0,0.0,5,3,0,0
152,221.79,219.82,1,0,0,1,0,1,1,1,1,2. Rural,31.0,0.0,0.0,7,30,0.0,0.0,0.0,5,3,1,1
153,220.12,206.93,0,0,0,1,0,0,1,1,1,2. Rural,37.0,0.0,0.0,7,34,0.0,0.0,0.0,3,2,1,1
154,219.17,189.64,0,0,0,1,0,0,1,1,1,1. Urbana,52.0,0.0,0.0,5,44,0.0,0.0,0.0,3,2,0,0
155,237.6,226.49,0,0,1,1,1,0,1,1,1,2. Rural,8.0,0.0,0.0,6,17,0.0,0.0,0.0,5,3,1,1
156,213.26,206.89,1,0,1,1,0,0,1,1,0,1. Urbana,36.0,0.0,0.0,11,56,0.0,0.0,0.0,5,4,0,0
157,246.7,235.55,1,0,1,1,1,0,1,1,0,1. Urbana,38.0,0.0,0.0,11,69,0.0,0.0,0.0,6,4,0,0
158,219.72,216.74,1,0,1,1,1,1,1,1,0,2. Rural,26.0,0.0,0.0,5,30,0.0,0.0,0.0,7,4,1,1
159,270.27,250.75,1,1,1,1,1,0,1,1,0,1. Urbana,103.0,0.0,0.0,12,53,0.0,0.0,0.0,7,5,0,0
160,253.78,239.59,0,0,1,1,1,0,1,1,1,2. Rural,33.0,0.0,0.0,10,47,0.0,0.0,0.0,5,3,1,1
161,212.89,215.28,0,0,0,1,1,0,1,1,0,1. Urbana,44.0,0.0,0.0,7,37,0.0,0.0,0.0,4,2,0,0
162,234.32,230.98,1,0,1,1,1,1,1,1,0,1. Urbana,113.0,0.0,0.0,19,86,0.0,0.0,0.0,7,4,0,0
163,241.18,234.93,1,0,1,1,1,0,1,1,1,1. Urbana,113.0,0.0,0.0,16,72,0.0,0.0,0.0,6,4,0,0
164,225.06,192.73,0,0,0,1,0,0,1,1,0,2. Rural,49.0,0.0,0.0,5,22,0.0,0.0,0.0,3,2,1,1
165,222.64,208.87,0,0,1,1,0,1,1,1,0,2. Rural,33.0,0.0,0.0,9,19,0.0,0.0,0.0,5,3,1,1
166,246.17,238.53,0,0,0,1,0,0,1,1,1,2. Rural,29.0,0.0,0.0,6,22,0.0,0.0,0.0,3,2,1,1
167,242.0,220.93,1,0,1,1,1,0,1,1,0,1. Urbana,104.0,0.0,0.0,30,104,0.0,0.0,0.0,6,4,0,0
168,217.43,188.2,0,0,0,1,1,0,1,1,0,2. Rural,46.0,0.0,0.0,5,17,0.0,0.0,0.0,4,2,1,1
169,247.5,221.82,1,0,0,1,1,0,1,1,0,2. Rural,37.0,0.0,0.0,6,20,0.0,0.0,0.0,5,3,1,1
170,212.41,201.81,0,0,1,1,0,0,1,1,0,2. Rural,43.0,0.0,0.0,5,19,0.0,0.0,0.0,4,3,1,1
171,231.14,217.08,0,0,0,1,0,1,1,1,0,2. Rural,41.0,0.0,0.0,5,15,0.0,0.0,0.0,4,2,1,1
172,239.06,224.45,1,0,0,1,0,1,1,1,1,1. Urbana,11.0,0.0,0.0,7,29,0.0,0.0,0.0,5,3,0,0
173,216.74,182.62,0,0,0,1,0,0,0,1,0,2. Rural,48.0,0.0,0.0,12,29,0.0,0.0,0.0,2,1,1,1
174,239.0,214.1,0,0,1,1,0,0,1,1,0,2. Rural,36.0,0.0,0.0,6,24,0.0,0.0,0.0,4,3,1,1
175,232.44,225.64,0,0,0,1,0,0,1,1,0,2. Rural,32.0,0.0,0.0,6,27,0.0,0.0,0.0,3,2,1,1
176,276.29,242.9,0,0,1,1,1,0,1,1,0,1. Urbana,93.0,0.0,0.0,10,52,0.0,0.0,0.0,5,3,0,0
177,283.85,259.46,1,0,1,1,0,0,1,1,1,1. Urbana,106.0,0.0,0.0,12,56,0.0,0.0,0.0,5,4,0,0
178,204.62,196.15,0,0,1,1,1,0,1,1,0,2. Rural,32.0,0.0,0.0,5,29,0.0,0.0,0.0,5,3,1,1
179,231.82,224.69,0,0,0,1,0,0,1,1,0,2. Rural,40.0,0.0,0.0,6,25,0.0,0.0,0.0,3,2,1,1
