,final_mat,final_pt,in_laboratorio_informatica,in_laboratorio_ciencias,in_quadra_esportes,in_cozinha,in_biblioteca,in_sala_leitura,in_internet,in_alimentacao,tp_atividade_complementar,tp_localizacao,num_proffundamental,num_matri_fund_total_geral,num_turmas_fund_total_geral,nu_salas_utilizadas,nu_funcionarios,num_matri_fund_5a8,rural
147,237.71,233.73,0,0,0,1,1,0,1,1,0,2. Rural,13.0,0.0,0.0,5,23,0.0,1
148,237.55,246.72,1,0,1,1,0,1,1,1,0,1. Urbana,63.0,0.0,0.0,11,43,0.0,0
149,241.26,238.77,0,0,0,1,0,0,1,1,0,2. Rural,25.0,0.0,0.0,6,28,0.0,1
150,263.49,268.63,1,1,1,1,1,1,1,1,0,1. Urbana,113.0,0.0,0.0,21,68,0.0,0
151,247.62,233.54,0,0,0,1,0,0,1,1,0,1. Urbana,51.0,0.0,0.0,9,30,0.0,0
152,251.75,228.75,0,0,0,1,1,0,1,1,0,2. Rural,38.0,0.0,0.0,6,18,0.0,1
153,255.37,247.68,0,0,1,1,1,0,1,1,0,2. Rural,25.0,0.0,0.0,10,22,0.0,1
154,257.45,254.93,1,0,1,1,1,0,1,1,0,1. Urbana,71.0,0.0,0.0,8,56,0.0,0
155,243.39,240.05,0,0,1,1,1,0,1,1,1,2. Rural,47.0,0.0,0.0,9,34,0.0,1
156,274.27,261.77,1,1,1,1,1,0,1,1,0,1. Urbana,52.0,0.0,0.0,15,52,0.0,0
157,254.54,247.08,0,0,1,1,0,0,0,1,1,2. Rural,49.0,0.0,0.0,9,38,0.0,1
158,256.15,254.93,0,0,0,1,1,0,1,1,1,2. Rural,43.0,0.0,0.0,6,46,0.0,1
159,258.81,255.6,1,0,1,1,1,0,1,1,0,1. Urbana,77.0,0.0,0.0,19,81,0.0,0
160,262.17,257.74,0,0,1,1,0,0,1,1,0,2. Rural,40.0,0.0,0.0,9,35,0.0,1
